Source,Target,Weight
Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,ProEdu Educación Inclusiva de Calidad,1
Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,"Nacer, Crecer, Vivir — NACREVI",1
Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,ProEdu Educación Inclusiva de Calidad,1
Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
"Nacer, Crecer, Vivir — NACREVI",Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
"Nacer, Crecer, Vivir — NACREVI",ProEdu Educación Inclusiva de Calidad,1
"Nacer, Crecer, Vivir — NACREVI",Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,ProEdu Educación Inclusiva de Calidad,1
Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
Fundación Bensadoun Laurent,ProEdu Educación Inclusiva de Calidad,1
Fundación Bensadoun Laurent,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
Fundación Bensadoun Laurent,"Nacer, Crecer, Vivir — NACREVI",1
Fundación Bensadoun Laurent,Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
Federación Autismo Uruguay - FAU,Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
Federación Autismo Uruguay - FAU,"Nacer, Crecer, Vivir — NACREVI",1
Federación Autismo Uruguay - FAU,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
Federación Autismo Uruguay - FAU,ProEdu Educación Inclusiva de Calidad,1
Federación Autismo Uruguay - FAU,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,Fundación Alejandra Forlán,1
Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,Fundación Bensadoun Laurent,1
Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,Grupo de Trabajo sobre Educación Inclusiva en Uruguay - GT-EI,1
Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,Instituto Interamericano sobre Discapacidad y Desarrollo Inclusivo - iiDi,1
Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,"Nacer, Crecer, Vivir — NACREVI",1
Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,ProEdu Educación Inclusiva de Calidad,1
Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
Fundación Alejandra Forlán,Fundación Bensadoun Laurent,1
Fundación Alejandra Forlán,Grupo de Trabajo sobre Educación Inclusiva en Uruguay - GT-EI,1
Fundación Alejandra Forlán,Instituto Interamericano sobre Discapacidad y Desarrollo Inclusivo - iiDi,1
Fundación Alejandra Forlán,Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
Fundación Alejandra Forlán,Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
Fundación Alejandra Forlán,"Nacer, Crecer, Vivir — NACREVI",1
Fundación Alejandra Forlán,Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
Fundación Alejandra Forlán,ProEdu Educación Inclusiva de Calidad,1
Fundación Alejandra Forlán,Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
Fundación Bensadoun Laurent,Grupo de Trabajo sobre Educación Inclusiva en Uruguay - GT-EI,1
Fundación Bensadoun Laurent,Instituto Interamericano sobre Discapacidad y Desarrollo Inclusivo - iiDi,1
Fundación Bensadoun Laurent,Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
Centro de Archivos y Acceso a la Información Pública — CAinfo,Instituto Interamericano sobre Discapacidad y Desarrollo Inclusivo - iiDi,1
10 GE.18-18654 Asociación de Esclerosis Múltiple de Uruguay — EMUR,Asociación de Padres y Amigos de Sordos del Uruguay — APASU,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Centro de Capacitación Humanizadora — CECAHU,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Fundación Bensadoun Laurent,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Grupo de Trabajo sobre Educación Inclusiva en Uruguay - GT-EI,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Instituto Interamericano sobre Discapacidad y Desarrollo Inclusivo - iiDi,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Juntos por un sueño — Comisión de Apoyo a personas con Discapacidad de Ciudad de la Costa,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Movimiento Estamos Todos En Acción — M.E.T.A — Uruguay,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna","Nacer, Crecer, Vivir — NACREVI",1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Observatorio Uruguayo por los Derechos de las Personas con Discapacidad,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",ProEdu Educación Inclusiva de Calidad,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Unión Nacional de Ciegos de Uruguay — UNCU (Uruguay),1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Asociación de Sordos del Uruguay — ASUR (JUVESUR),1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Asociación de Usuarios de Montevideo e Interior de la República (ASUMIR),1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,CENTEA Uruguay,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Centro de Archivos y Acceso a la Información Pública — CAinfo,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Centro de Investigación y Desarrollo para la Persona Sorda - CINDE,1
"Alianza de Organizaciones por los Derechos de las Personas con Discapacidad en Uruguay (Asamblea Instituyente por Salud Mental, Desmanicomialización y Vida digna",Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,"Centro de Investigación, Educación y Encuentro Popular Rebellato (CIEENPRE JUNTOS)",1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Cotidiano Mujer,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Federación Autismo Uruguay - FAU,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Federación Uruguaya Asociaciones de Padres de Personas con Discapacidad Intelectual — FUAP,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Fundación Alejandra Forlán,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Fundación Bensadoun Laurent,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Grupo de Trabajo sobre Educación Inclusiva en Uruguay - GT-EI,1
Asociación de Padres y Amigos de Sordos del Uruguay — APASU,Instituto Interamericano sobre Discapacidad y Desarrollo Inclusivo - iiDi,1
