Source,Target,Weight
"CIVICUS: World Alliance for Citizen Participation, Johannesburg (South Africa), Omani Association for Human Rights (OAHR), Berlin (Germany)",and Gulf Centre for Human Rights (GCHR) (Lebanon),1
MENA Rights Group Geneva (Switzerland),"and Omani Centre for Human Rights (OCHR), (United Kingdom of Great Britain and Northern Ireland)",1
"The Omani Association For Human Rights, Berlin (Germany)","and the Institute on Statelessness and Inclusion (ISI), Eindhoven (Netherlands)",1
"The Omani Association For Human Rights, Berlin (Germany)",the Global Campaign for Equal Nationality Rights (GCENR) New York ( United States of America),1
"and the Institute on Statelessness and Inclusion (ISI), Eindhoven (Netherlands)",the Global Campaign for Equal Nationality Rights (GCENR) New York ( United States of America),1
