Source,Target,Weight
"Americans for Democracy& Human Rights in Bahrain (ADHRB), Washington, DC (United States of America) , English PEN and PEN International, London (United Kingdom of Great Britain and Northern Ireland), and Reporters Without Borders (RSF/RWB), Paris, (France)","European Centre for Democracy and Human Rights (ECDHR), Brussels (Belgium)",1
"Defenders for Medical Impartiality (DMI), Beirut (Lebanon)","European Centre for Rights and Democracy (ECDHR), Brussels (Belgium)",1
