Source,Target,Weight
"Marewen Tabiteuea Meang, (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",1
"Marewen Tabiteuea Meang, (Kiribati)","Terunganaine, (Kiribati)",1
"Marewen Tabiteuea Meang, (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Marewen Tabiteuea Meang, (Kiribati)","Ueen Abemama, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Relief Society, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Tanimwarutamu, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Ueen Tebike, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Nei Mom, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Nei Tiwiita, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Ngareia, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Nikabubutin Makin, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Reitan Ainen Boretetanti (RAB), (Kiribati)",1
"Nei Baneawa, (Kiribati)","Reitan Ainen KUC (RAK), (Kiribati)",1
"Nei Baneawa, (Kiribati)","Reitan Nanoia Ainen Onotoa, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Relief Society, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Tanimwarutamu, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",1
"Nei Baneawa, (Kiribati)","Terunganaine, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Ueen Abemama, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Ueen Benita, (Kiribati)",1
"Nei Baneawa, (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Nei Baneawa, (Kiribati)","Ueen Tebike, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Ueen Benita, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Ueen Abemama, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Te Toa Matoa (TTM), (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Tetokanimarakei, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Terunganaine, (Kiribati)",1
"Marewen Nonouti, (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Ueen Abemama, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Ueen Aranuka, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Ueen Benita, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Ueen Kirabun Eutan Tarawa Ieta (UKETI), (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Ueen Tebike, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Ueen te Bitati, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Ueen te Makeke, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Ueen te Toaki, (Kiribati)",1
"Matangareia Ainen Tamana, (Kiribati)","Ueen te Ueanikai, (Kiribati)",1
"Ministry of Women in Action (MOWIA), (Kiribati)","Nei Baneawa, (Kiribati)",1
