Source,Target,Weight
(NOT SURE if Indonesia?),"ANFREL, Asian Network for Free Elections (Thailand), ASEAN Parliamentarians for Human Rights (APHR)",1
International Federation for Human Rights (FIDH),Joint submission 34 by: Eleos Justice,1
International Federation for Human Rights (FIDH),World Coalition against the Death Penalty,1
Joint submission 34 by: Eleos Justice,World Coalition against the Death Penalty,1
NOT SURE about it,"Togetherness for Equality (TEA) (Thailand), Feminist’s Liberation Front (FLF) (Thailand)",1
