Source,Target,Weight
"Institute of Public Policy, Yerevan (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",2
"Mission Armenia NGO, Yerevan (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",2
"Mission Armenia NGO, Yerevan (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",2
"Institute of Public Policy, Yerevan (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",2
"Institute of Public Policy, Yerevan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"Journalists' Club Asparez, Gyumri (Armenia)","Khoran Ard Intellectual NGO, Gyumri (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","Human Rights Research Center NGO, Yerevan (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","Institute of Public Policy, Yerevan (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","Journalists' Club Asparez, Gyumri (Armenia)",2
"Center for Rights Development NGO, Yerevan (Armenia)","Khoran Ard Intellectual NGO, Gyumri (Armenia)",2
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",2
"Khoran Ard Intellectual NGO, Gyumri (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",2
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Journalists' Club Asparez, Gyumri (Armenia)",2
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Institute of Public Policy, Yerevan (Armenia)",2
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"Transparency International Anticorruption Center, Yerevan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",2
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Khoran Ard Intellectual NGO, Gyumri (Armenia)",2
"Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",2
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Human Rights Research Center NGO, Yerevan (Armenia)",2
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",2
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Mission Armenia NGO, Yerevan (Armenia)",2
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Journalists' Club Asparez, Gyumri (Armenia)",2
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Institute of Public Policy, Yerevan (Armenia)",2
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)",2
"Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)","We Plus Social NGO, Gyumri (Armenia)",2
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",2
"Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)","Human Rights Research Center NGO, Yerevan (Armenia)",2
"Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)","Khoran Ard Intellectual NGO, Gyumri (Armenia)",2
"Iravates Club NGO, Hrazdan (Armenia)","Pink Human Rights Defender NGO, Yerevan (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","Khoran Ard Intellectual NGO, Gyumri (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","Martuni Women's Community Council NGO, Martuni (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","Mission Armenia NGO, Yerevan (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","Real World, Real People NGO, Yerevan (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","Transparency International Anticorruption Center, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Society Without Violence NGO, Yerevan (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","Social justice NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)",Youth Syunik Youth NGO,1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","Spitak Helsinki Group Human Rights NGO, Spitak (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","Journalists' Club Asparez, Gyumri (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Women's Empowerment Center' NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Youth Avangard NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)",Yezidi Center for Human Rights Human Rights Defender NGO,1
"Institute of Public Policy, Yerevan (Armenia)","Non-Discrimination and Equality Coalition NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)",Yezidi Center for Human Rights Human Rights Defender NGO,1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Women's Support Center NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Peace Dialogue NGO, Vanadzor (Armenia), Pink Human Rights Defender NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Pink Human Rights Defender NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Protection of Rights without Borders NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Real World, Real People NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Sexual Assault Crisis Center NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Social justice NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Women's Resource Center NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Society Without Violence NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","United Nations Association of Armenia, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Union of Informed Citizens Consulting NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","United Nations Association of Armenia, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Union of Informed Citizens Consulting NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Sexual Assault Crisis Center NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Women's Resource Center NGO, Yerevan (Armenia)",1
"Institute of Public Policy, Yerevan (Armenia)","Women's Support Center NGO, Yerevan (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","Youth Avangard NGO, Yerevan (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)","Women's Empowerment Center' NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Youth Avangard NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Helsinki Committee of Armenia Human Rights Defender NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Helsinki Citizens’ Assembly–Vanadzor, Vanadzor (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Union of Informed Citizens Consulting NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","United Nations Association of Armenia, Yerevan (Armenia)",1
"Group of Public Monitors Implementing Supervision over the Criminal-Executive Institutions and Bodies of the Ministry of Justice of RA, Yerevan (Armenia)",Yezidi Center for Human Rights Human Rights Defender NGO,1
"Journalists' Club Asparez, Gyumri (Armenia)","Women's Empowerment Center' NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Women's Resource Center NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Women's Support Center NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)",Yezidi Center for Human Rights Human Rights Defender NGO,1
"Group of Public Monitors Implementing Supervision over the Criminal-Executive Institutions and Bodies of the Ministry of Justice of RA, Yerevan (Armenia)","Women's Support Center NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Protection of Rights without Borders NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)",Youth Syunik Youth NGO,1
"Khoran Ard Intellectual NGO, Gyumri (Armenia)",Law Development and Protection Foundation,1
"Group of Public Monitors Implementing Supervision over the Criminal-Executive Institutions and Bodies of the Ministry of Justice of RA, Yerevan (Armenia)","Women's Resource Center NGO, Yerevan (Armenia)",1
"Group of Public Monitors Implementing Supervision over the Criminal-Executive Institutions and Bodies of the Ministry of Justice of RA, Yerevan (Armenia)","We Plus Social NGO, Gyumri (Armenia)",1
"Khoran Ard Intellectual NGO, Gyumri (Armenia)","Legal Analyses and Development Center, Yerevan (Armenia)",1
"Khoran Ard Intellectual NGO, Gyumri (Armenia)","Martuni Women's Community Council NGO, Martuni (Armenia)",1
"Group of Public Monitors Implementing Supervision over the Criminal-Executive Institutions and Bodies of the Ministry of Justice of RA, Yerevan (Armenia)","United Nations Association of Armenia, Yerevan (Armenia)",1
"Group of Public Monitors Implementing Supervision over the Criminal-Executive Institutions and Bodies of the Ministry of Justice of RA, Yerevan (Armenia)","Union of Informed Citizens Consulting NGO, Yerevan (Armenia)",1
"Khoran Ard Intellectual NGO, Gyumri (Armenia)","Non-Discrimination and Equality Coalition NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Society Without Violence NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Social justice NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Sexual Assault Crisis Center NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Real World, Real People NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Peace Dialogue NGO, Vanadzor (Armenia), Pink Human Rights Defender NGO, Yerevan (Armenia)",1
"Iravates Club NGO, Hrazdan (Armenia)",Youth Syunik Youth NGO,1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Open Society Foundations–Armenia, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Non-Discrimination and Equality Coalition NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","New Generation Humanitarian NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)",Law Development and Protection Foundation,1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Mission Armenia NGO, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Legal Analyses and Development Center, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Martuni Women's Community Council NGO, Martuni (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Legal Analyses and Development Center, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)",Law Development and Protection Foundation,1
"Journalists' Club Asparez, Gyumri (Armenia)","Non-Discrimination and Equality Coalition NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Khoran Ard Intellectual NGO, Gyumri (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Peace Dialogue NGO, Vanadzor (Armenia), Pink Human Rights Defender NGO, Yerevan (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Journalists' Club Asparez, Gyumri (Armenia)",1
"Helsinki Association for Human Rights NGO, Yerevan (Armenia)","Institute of Public Policy, Yerevan (Armenia)",1
"Journalists' Club Asparez, Gyumri (Armenia)","Pink Human Rights Defender NGO, Yerevan (Armenia)",1
