Source,Target,Weight
"CIVICUS: World Alliance for Citizen Participation (Johannesburg, South Africa)","Citizens’ Constitutional Forum (Suva, Fiji)",1
"Bua Urban Youth Network (Suva, Fiji)","Save the Children Fiji (Suva, Fiji)",1
"Bua Urban Youth Network (Suva, Fiji)","Rainbow Pride Foundation (Suva, Fiji)",1
"Bua Urban Youth Network (Suva, Fiji)","Haus of Khameleon (Suva, Fiji)",1
"Bua Urban Youth Network (Suva, Fiji)","Fiji Women’s Rights Movement (Suva, Fiji)",1
"Bua Urban Youth Network (Suva, Fiji)","Fiji Women’s Crisis Centre (Suva, Fiji)",1
"Bua Urban Youth Network (Suva, Fiji)","Fiji Disabled People’s Federation (Suva, Fiji)",1
"Fiji Council of Social Services (Suva, Fiji)","Haus of Khameleon (Suva, Fiji)",1
"Bua Urban Youth Network (Suva, Fiji)","Fiji Council of Social Services (Suva, Fiji)",1
"Bua Urban Youth Network (Suva, Fiji)","Ecumenical Centre for Research and Advocacy (Suva, Fiji), Social Empowerment and Education Programme (Suva, Fiji)",1
"Bua Urban Youth Network (Suva, Fiji)","Citizens’ Constitutional Forum (Suva, Fiji)",1
"Bua Urban Youth (Suva, Fiji)","Youth Champs for Mental Health (Suva, Fiji)",1
"Bua Urban Youth (Suva, Fiji)","Reproductive & Family Health Association of Fiji (Suva, Fiji)",1
"Bua Urban Youth (Suva, Fiji)","Rainbow Pride Foundation (Suva, Fiji)",1
"Bua Urban Youth (Suva, Fiji)","National Union of Factory and Commercial Workers (Suva, Fiji)",1
"Bua Urban Youth (Suva, Fiji)","Medical Services Pacific (Suva, Fiji)",1
"Bua Urban Youth (Suva, Fiji)","Interfaith Search Fiji (Suva, Fiji)",1
"Bua Urban Youth (Suva, Fiji)","Haus of Khameleon (Suva, Fiji)",1
"Bua Urban Youth (Suva, Fiji)","Fiji Women’s Rights Movement (Suva, Fiji)",1
"Citizens Constitutional Forum (Suva, Fiji)","Interfaith Search Fiji (Suva, Fiji)",1
"Citizens Constitutional Forum (Suva, Fiji)","Medical Services Pacific (Suva, Fiji)",1
"Citizens Constitutional Forum (Suva, Fiji)","National Union of Factory and Commercial Workers (Suva, Fiji)",1
"Citizens Constitutional Forum (Suva, Fiji)","Rainbow Pride Foundation (Suva, Fiji)",1
"Fiji Council of Social Services (Suva, Fiji)","Fiji Women’s Rights Movement (Suva, Fiji)",1
"Fiji Council of Social Services (Suva, Fiji)","Fiji Women’s Crisis Centre (Suva, Fiji)",1
"Fiji Council of Social Services (Suva, Fiji)","Fiji Trades Union Congress (Suva, Fiji)",1
"Fiji Council of Social Services (Suva, Fiji)","Fiji Disabled People’s Federation (Suva, Fiji)",1
"Ecumenical Centre for Research and Advocacy (Suva, Fiji), Social Empowerment and Education Programme (Suva, Fiji)","Save the Children Fiji (Suva, Fiji)",1
"Ecumenical Centre for Research and Advocacy (Suva, Fiji), Social Empowerment and Education Programme (Suva, Fiji)","Rainbow Pride Foundation (Suva, Fiji)",1
"Ecumenical Centre for Research and Advocacy (Suva, Fiji), Social Empowerment and Education Programme (Suva, Fiji)","Haus of Khameleon (Suva, Fiji)",1
"Ecumenical Centre for Research and Advocacy (Suva, Fiji), Social Empowerment and Education Programme (Suva, Fiji)","Fiji Women’s Rights Movement (Suva, Fiji)",1
"Ecumenical Centre for Research and Advocacy (Suva, Fiji), Social Empowerment and Education Programme (Suva, Fiji)","Fiji Women’s Crisis Centre (Suva, Fiji)",1
"Ecumenical Centre for Research and Advocacy (Suva, Fiji), Social Empowerment and Education Programme (Suva, Fiji)","Fiji Trades Union Congress (Suva, Fiji)",1
"Ecumenical Centre for Research and Advocacy (Suva, Fiji), Social Empowerment and Education Programme (Suva, Fiji)","Fiji Disabled People’s Federation (Suva, Fiji)",1
"Ecumenical Centre for Research and Advocacy (Suva, Fiji), Social Empowerment and Education Programme (Suva, Fiji)","Fiji Council of Social Services (Suva, Fiji)",1
"Citizens’ Constitutional Forum (Suva, Fiji)","Save the Children Fiji (Suva, Fiji)",1
"Citizens’ Constitutional Forum (Suva, Fiji)","Rainbow Pride Foundation (Suva, Fiji)",1
"Citizens’ Constitutional Forum (Suva, Fiji)","Pacific Islands Association of Non-Government Organisations (Suva, Fiji)",1
"Citizens’ Constitutional Forum (Suva, Fiji)","Haus of Khameleon (Suva, Fiji)",1
"Citizens’ Constitutional Forum (Suva, Fiji)","Fiji Women’s Crisis Centre (Suva, Fiji)",1
"Citizens’ Constitutional Forum (Suva, Fiji)","Fiji Trades Union Congress (Suva, Fiji)",1
"Citizens’ Constitutional Forum (Suva, Fiji)","Fiji Disabled People’s Federation (Suva, Fiji)",1
"Citizens’ Constitutional Forum (Suva, Fiji)","Fiji Council of Social Services (Suva, Fiji)",1
"Citizens’ Constitutional Forum (Suva, Fiji)","Ecumenical Centre for Research and Advocacy (Suva, Fiji), Social Empowerment and Education Programme (Suva, Fiji)",1
"Citizens Constitutional Forum (Suva, Fiji)","Youth Champs for Mental Health (Suva, Fiji)",1
"Citizens Constitutional Forum (Suva, Fiji)","Reproductive & Family Health Association of Fiji (Suva, Fiji)",1
"Reproductive & Family Health Association of Fiji (Suva, Fiji)","Youth Champs for Mental Health (Suva, Fiji)",1
