Source,Target,Weight
"Article 19 (United Kingdom), English Pen (United Kingdom)","PEN International, International Press Institute (Austria) and Reporters Sans Frontières (France)",1
"Article 19 (United Kingdom), English Pen (United Kingdom)",PHROM/,1
"PEN International, International Press Institute (Austria) and Reporters Sans Frontières (France)",PHROM/,1
