Source,Target,Weight
Sociedad Cubana de Cirugía,Unión Nacional de Arquitectos e Ingenieros de la Construcción de Cuba,1
Sociedad Cubana de Cirugía,Sociedad Meteorológica de Cuba,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Sociedad Cubana de Retinosis Pigmentaria,1
Sociedad Cubana de Cirugía,Sociedad Económica Amigos del País,1
Sociedad Cubana de Cirugía,Sociedad Cultural José Martí,1
Sociedad Cubana de Cirugía,Sociedad Cubana para la Promoción de las Fuentes Renovables de Energía y el respeto ambiental,1
Sociedad Cubana de Cirugía,Sociedad Cubana para el Estudio Multidisciplinario de la Sexualidad,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Urología,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Trabajadores Sociales de la Salud,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Toxicología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Reumatología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Toxicología,1
Sociedad Cubana de Cirugía Endoscópica,Sociedad Cubana de Sociedad Cubana de Retinosis Pigmentaria,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Prótesis Estomatológica,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Urología,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Trabajadores Sociales de la Salud,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Toxicología,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Sociedad Cubana de Retinosis Pigmentaria,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Salud Pública,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Reumatología,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Psiquiatría,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Psicología de la Salud,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Periodontología,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana para la Promoción de las Fuentes Renovables de Energía y el respeto ambiental,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Pediatría,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Patología Clínica,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Otorrinolaringología,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Ortopedia y Traumatología,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Oncología y Radiobiología,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Oftalmología,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Obstetricia y Ginecología,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana de Nutrición Clínica,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cubana para el Estudio Multidisciplinario de la Sexualidad,1
Sociedad Cubana de Cirugía Maxilo- Facial,Sociedad Cultural José Martí,1
Sociedad Cubana de Cirugía,Sociedad Cubana de Medicina Física y Rehabilitación,1
