Source,Target,Weight
"Akahata-Equipo de Trabajo en Sexualidades y Géneros, Buenos Aires (Argentina)",Caribbean Right Here Right Now Platform Sexual Rights Initiative (C-RHRN),1
"Akahata-Equipo de Trabajo en Sexualidades y Géneros, Buenos Aires (Argentina)",The Caribbean Association for Feminist Research and Action (CAFRA),1
Caribbean Right Here Right Now Platform Sexual Rights Initiative (C-RHRN),The Caribbean Association for Feminist Research and Action (CAFRA),1
"The Advocates for Human Rights, Minneapolis (The United States of America)",and The World Coalition Against the Death Penalty,1
