Source,Target,Weight
"Auckland Sexual Abuse HELP, Women’s Centre,Backbone Collective, Eastern Women’s Refuge, Homework’s Trust, Inner City Women’s Group, Mental Health Foundation, Mt Albert Psychological Services, North Shore Women’s Centre, Rape Prevention Education – Whakatu Mauri, SHINE Safer Homes in NZ Everyday, Supportline Women’s Refuge Te Rito Women’s Centre Rodney, Women’s Health Action Trust","Coalition for the Safety of Women and Children, Auckland, New Zealand",1
"International Centre for Trade Union Rights, London, United Kingdom","The New Zealand Council of Trade Unions Te Kauae Kaimahi, Wellington, New Zealand",1
