Source,Target,Weight
"Access Now, New York USA",The Gulf Centre for Human Rights,1
"Access Now, New York USA",and Americans for Democracy & Human Rights in Bahrain,1
CIVICUS: World Alliance for Citizen Participation,The Gulf Centre for Human Rights,1
Institute on Statelessness and Inclusion Rights Realization Centre and the Global Campaign for Equal Nationality Rights,"para. 51. 17 CGNK, page 5. 18 CGNK, page 6",1
The Gulf Centre for Human Rights,and Americans for Democracy & Human Rights in Bahrain,1
and The World Coalition Against the Death Penalty,by The Advocates for Human Rights,1
