Source,Target,Weight
"Asian-Pacific Resource and Research Centre for Women (ARROW), Kuala Lumpur (Malaysia)","MONFEMNET National Network Mongolia, Ulaanbaatar (Mongolia)",1
Child Education Institute of Mongolia,"and Institute on Statelessness and Inclusion, Eindhoven (Netherlands)",1
"and Global Meridian NGO, Ulaanbaatar (Mongolia)",Хүний эрх хөгжил төв,1
