Source,Target,Weight
"The Advocates for Human Rights “The Advocates”, Minneapolis (United States of America)","and the World Coalition Against the Death Penalty, Montreuil (France)",1
"The Brunei Project, the Global Campaign for Equal Nationality Rights, New York (United States of America)","The Statelessness Network Asia Pacific (SNAP), Selangor (Malaysia)",1
"The Brunei Project, the Global Campaign for Equal Nationality Rights, New York (United States of America)","and the Institute on Statelessness and Inclusion, Eindhoven (The Netherlands)",1
"The Statelessness Network Asia Pacific (SNAP), Selangor (Malaysia)","and the Institute on Statelessness and Inclusion, Eindhoven (The Netherlands)",1
